areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2022/3/10,38500,19530485
overview,United Kingdom,K02000001,2022/3/9,70178,19491985
overview,United Kingdom,K02000001,2022/3/8,69203,19421807
overview,United Kingdom,K02000001,2022/3/7,68173,19352604
overview,United Kingdom,K02000001,2022/3/6,48850,19284431
overview,United Kingdom,K02000001,2022/3/5,38594,19235581
overview,United Kingdom,K02000001,2022/3/4,41272,19196987
overview,United Kingdom,K02000001,2022/3/3,43624,19155715
overview,United Kingdom,K02000001,2022/3/2,46093,19112091
overview,United Kingdom,K02000001,2022/3/1,44664,19065998
overview,United Kingdom,K02000001,2022/2/28,44582,19021334
overview,United Kingdom,K02000001,2022/2/27,31337,18976752
overview,United Kingdom,K02000001,2022/2/26,25044,18945415
overview,United Kingdom,K02000001,2022/2/25,27743,18920371
overview,United Kingdom,K02000001,2022/2/24,30465,18892628
overview,United Kingdom,K02000001,2022/2/23,36283,18862163
overview,United Kingdom,K02000001,2022/2/22,39015,18825880
overview,United Kingdom,K02000001,2022/2/21,45050,18786865
overview,United Kingdom,K02000001,2022/2/20,37646,18741815
overview,United Kingdom,K02000001,2022/2/19,34575,18704169
overview,United Kingdom,K02000001,2022/2/18,33183,18669594
overview,United Kingdom,K02000001,2022/2/17,44529,18636411
overview,United Kingdom,K02000001,2022/2/16,51304,18591882
overview,United Kingdom,K02000001,2022/2/15,52295,18540578
overview,United Kingdom,K02000001,2022/2/14,54538,18488283
overview,United Kingdom,K02000001,2022/2/13,41739,18433745
overview,United Kingdom,K02000001,2022/2/12,37433,18392006
overview,United Kingdom,K02000001,2022/2/11,44444,18354573
overview,United Kingdom,K02000001,2022/2/10,52074,18310129
overview,United Kingdom,K02000001,2022/2/9,63974,18258055
overview,United Kingdom,K02000001,2022/2/8,69184,18194081
overview,United Kingdom,K02000001,2022/2/7,76104,18124897
overview,United Kingdom,K02000001,2022/2/6,60420,18048793
overview,United Kingdom,K02000001,2022/2/5,52164,17988373
overview,United Kingdom,K02000001,2022/2/4,63125,17936209
overview,United Kingdom,K02000001,2022/2/3,76554,17873084
overview,United Kingdom,K02000001,2022/2/2,88310,17796530
overview,United Kingdom,K02000001,2022/2/1,93593,17708220
overview,United Kingdom,K02000001,2022/1/31,104884,17614627
overview,United Kingdom,K02000001,2022/1/30,87510,17509743
overview,United Kingdom,K02000001,2022/1/29,73460,17422233
overview,United Kingdom,K02000001,2022/1/28,83984,17348773
overview,United Kingdom,K02000001,2022/1/27,96130,17264789
overview,United Kingdom,K02000001,2022/1/26,108626,17168659
overview,United Kingdom,K02000001,2022/1/25,113113,17060033
overview,United Kingdom,K02000001,2022/1/24,127231,16946920
overview,United Kingdom,K02000001,2022/1/23,102300,16819689
overview,United Kingdom,K02000001,2022/1/22,81642,16717389
overview,United Kingdom,K02000001,2022/1/21,91497,16635747
overview,United Kingdom,K02000001,2022/1/20,100217,16544250
overview,United Kingdom,K02000001,2022/1/19,111645,16444033
overview,United Kingdom,K02000001,2022/1/18,118668,16332388
overview,United Kingdom,K02000001,2022/1/17,131366,16213720
overview,United Kingdom,K02000001,2022/1/16,97986,16082354
overview,United Kingdom,K02000001,2022/1/15,77856,15984368
overview,United Kingdom,K02000001,2022/1/14,86217,15906512
overview,United Kingdom,K02000001,2022/1/13,96306,15820295
overview,United Kingdom,K02000001,2022/1/12,103135,15723989
overview,United Kingdom,K02000001,2022/1/11,115163,15620854
overview,United Kingdom,K02000001,2022/1/10,132653,15505691
overview,United Kingdom,K02000001,2022/1/9,95688,15373038
overview,United Kingdom,K02000001,2022/1/8,93544,15277350
overview,United Kingdom,K02000001,2022/1/7,120167,15183806
overview,United Kingdom,K02000001,2022/1/6,172773,15063639
overview,United Kingdom,K02000001,2022/1/5,221986,14890866
overview,United Kingdom,K02000001,2022/1/4,275545,14668880
overview,United Kingdom,K02000001,2022/1/3,229803,14393335
overview,United Kingdom,K02000001,2022/1/2,181001,14163532
overview,United Kingdom,K02000001,2022/1/1,118173,13982531
overview,United Kingdom,K02000001,2021/12/31,188512,13864358
overview,United Kingdom,K02000001,2021/12/30,236486,13675846
overview,United Kingdom,K02000001,2021/12/29,272713,13439360
overview,United Kingdom,K02000001,2021/12/28,212421,13166647
overview,United Kingdom,K02000001,2021/12/27,194955,12954226
overview,United Kingdom,K02000001,2021/12/26,116263,12759271
overview,United Kingdom,K02000001,2021/12/25,70355,12643008
